Algorithm,Run,Seed,Efficiency,Time,Feasible
Tabu Search,21,796282693,0.8350810725269601,150.5796136856079,True
Genetic Algorithm,20,1074497555,0.8581199544403008,292.1532926559448,True
Local Search,21,796282693,0.8545553029522185,147.76019740104675,True
Variable Neighborhood Search,21,796282693,0.8424026618223047,170.03586435317993,True
Genetic Algorithm,21,796282693,0.8528195855170962,272.35089325904846,True
Hill Climbing,22,392022359,0.7479993256102564,0.13090133666992188,True
Genetic Algorithm,22,392022359,0.8438729049930348,199.68965530395508,True
Random Search,12,1580016183,0.7849849797969386,1227.1355741024017,True
Tabu Search,22,392022359,0.8327785462593363,148.73405647277832,True
Local Search,22,392022359,0.846316214349223,150.65528225898743,True
Variable Neighborhood Search,22,392022359,0.8353813139121581,160.18679761886597,True
Hill Climbing,23,1990212658,0.763206209174824,0.3671276569366455,True
Random Search,13,1634535062,0.7982596007487782,1225.7148456573486,True
Tabu Search,23,1990212658,0.8274657163523506,152.1696765422821,True
Local Search,23,1990212658,0.8489685266132777,156.236074924469,True
Variable Neighborhood Search,23,1990212658,0.8393427550083393,165.16076850891113,True
Genetic Algorithm,23,1990212658,0.8470490308152646,223.3315875530243,True
Hill Climbing,24,1678403330,0.781470533384765,0.2312908172607422,True
Random Search,14,1540770719,0.7870105273514364,1240.8576567173004,True
Genetic Algorithm,24,1678403330,0.8379204361955985,192.62642431259155,True
Tabu Search,24,1678403330,0.824733006341502,154.31451535224915,True
Local Search,24,1678403330,0.8448269022944347,155.74557089805603,True
Variable Neighborhood Search,24,1678403330,0.8323578302609688,166.31764268875122,True
Hill Climbing,25,1382689815,0.7450679133376645,0.22581839561462402,True
Random Search,15,1688060240,0.7885458637082013,1240.205731868744,True
Tabu Search,25,1382689815,0.832929138712418,151.5184245109558,True
Genetic Algorithm,25,1382689815,0.8429156704386682,190.11223769187927,True
Local Search,25,1382689815,0.8542198422068552,145.4702229499817,True
Variable Neighborhood Search,25,1382689815,0.8432487040576867,158.17020964622498,True
Hill Climbing,26,864178266,0.790694241424761,0.487415075302124,True
Random Search,16,1102145672,0.7841042062294769,1227.1257727146149,True
Tabu Search,26,864178266,0.8272478476009321,144.96207213401794,True
Local Search,26,864178266,0.8524007337860152,143.73634147644043,True
Random Search,17,275121930,0.7886573618581194,1226.978121995926,True
Variable Neighborhood Search,26,864178266,0.8413386760045309,158.69846057891846,True
Hill Climbing,27,1766867109,0.7648811638597894,0.35127782821655273,True
Tabu Search,27,1766867109,0.8266627051800212,141.52911520004272,True
Genetic Algorithm,26,864178266,0.8498000744145225,287.4753122329712,True
Local Search,27,1766867109,0.8519280460500699,140.82881784439087,True
Random Search,18,1803345590,0.7870699919468859,1220.6410918235779,True
Genetic Algorithm,27,1766867109,0.8429977990584051,248.99021005630493,True
Hill Climbing,28,1171300112,0.7925850314107891,0.22078466415405273,True
Variable Neighborhood Search,27,1766867109,0.8322651439669838,159.35824298858643,True
Tabu Search,28,1171300112,0.8330750233212354,141.93029117584229,True
Local Search,28,1171300112,0.8560640417783275,142.52496719360352,True
Random Search,19,967196436,0.7955206244573128,1225.619823217392,True
Variable Neighborhood Search,28,1171300112,0.8267144329035563,160.83908247947693,True
Hill Climbing,29,952224740,0.7668389470878648,0.3341991901397705,True
Tabu Search,29,952224740,0.8235406984189452,147.522545337677,True
Genetic Algorithm,28,1171300112,0.8570540685665144,274.24070715904236,True
Random Search,20,1074497555,0.7853736746458608,1205.433978319168,True
Local Search,29,952224740,0.8471394233772481,132.0078525543213,True
Variable Neighborhood Search,29,952224740,0.8360009403975855,143.4809057712555,True
Genetic Algorithm,29,952224740,0.8513114485922927,245.13216185569763,True
Random Search,21,796282693,0.7870163641673382,1162.6478478908539,True
Random Search,22,392022359,0.7754648662724962,1085.2323198318481,True
Random Search,23,1990212658,0.7872673082088667,1042.260376214981,True
Random Search,24,1678403330,0.7905240530172889,966.5619204044342,True
Random Search,25,1382689815,0.8002884831618597,903.4451711177826,True
Random Search,26,864178266,0.7925203156331404,861.5321891307831,True
Random Search,27,1766867109,0.7877575194065995,823.5451164245605,True
Random Search,28,1171300112,0.7825860744894836,748.8065042495728,True
Random Search,29,952224740,0.7840402420150796,699.1744372844696,True
Greedy,0,0,0.6459167275725719,0.0016632080078125,True
