Algorithm,Run,Seed,Efficiency,Time,Feasible
Variable Neighborhood Search,8,432652533,0.9391666666666666,5.290182590484619,True
Hill Climbing,10,1130604997,0.8071296296296295,0.006066799163818359,True
Tabu Search,9,202244314,0.8916666666666666,4.968065977096558,True
Random Search,7,1497586438,0.8783333333333333,8.9579758644104,True
Genetic Algorithm,6,184566854,0.9124999999999999,12.812081098556519,True
Local Search,9,202244314,0.9183333333333333,4.981299877166748,True
Variable Neighborhood Search,9,202244314,0.905,5.356836795806885,True
Hill Climbing,11,2095133045,0.8546296296296296,0.010077714920043945,True
Random Search,8,432652533,0.8841666666666667,8.692662954330444,True
Tabu Search,10,1130604997,0.8991666666666666,5.033551454544067,True
Local Search,10,1130604997,0.9124999999999999,5.142334699630737,True
Variable Neighborhood Search,10,1130604997,0.905,5.380605936050415,True
Genetic Algorithm,7,1497586438,0.8916666666666666,13.677162170410156,True
Hill Climbing,12,1580016183,0.7892592592592593,0.0070040225982666016,True
Genetic Algorithm,8,432652533,0.9124999999999999,11.897205591201782,True
Tabu Search,11,2095133045,0.8991666666666666,4.90363073348999,True
Random Search,9,202244314,0.8783333333333333,8.40083622932434,True
Local Search,11,2095133045,0.8754629629629629,5.015234708786011,True
Variable Neighborhood Search,11,2095133045,0.9316666666666666,5.425179481506348,True
Hill Climbing,13,1634535062,0.8204629629629628,0.013413667678833008,True
Random Search,10,1130604997,0.865,8.381558179855347,True
Tabu Search,12,1580016183,0.8783333333333333,4.984947919845581,True
Genetic Algorithm,9,202244314,0.9124999999999999,12.707435607910156,True
Local Search,12,1580016183,0.905,5.047833442687988,True
Variable Neighborhood Search,12,1580016183,0.8916666666666666,5.241542816162109,True
Hill Climbing,14,1540770719,0.8233333333333333,0.007833003997802734,True
Tabu Search,13,1634535062,0.8841666666666667,5.32968807220459,True
Random Search,11,2095133045,0.8708333333333333,8.570841073989868,True
Local Search,13,1634535062,0.905,4.889177560806274,True
Variable Neighborhood Search,13,1634535062,0.905,5.182366609573364,True
Genetic Algorithm,10,1130604997,0.8916666666666666,13.058704853057861,True
Hill Climbing,15,1688060240,0.7909259259259258,0.008330106735229492,True
Genetic Algorithm,11,2095133045,0.8858333333333333,13.032821893692017,True
Tabu Search,14,1540770719,0.8708333333333333,5.015806198120117,True
Local Search,14,1540770719,0.8916666666666666,4.958554267883301,True
Genetic Algorithm,12,1580016183,0.8783333333333333,10.340410232543945,True
Random Search,12,1580016183,0.8783333333333333,8.762500047683716,True
Hill Climbing,16,1102145672,0.7462962962962962,0.008392572402954102,True
Variable Neighborhood Search,14,1540770719,0.8916666666666666,5.254558324813843,True
Random Search,13,1634535062,0.8858333333333333,8.393486499786377,True
Tabu Search,15,1688060240,0.8916666666666666,4.937345743179321,True
Local Search,15,1688060240,0.8621296296296296,5.110483646392822,True
Variable Neighborhood Search,15,1688060240,0.905,5.106416940689087,True
Hill Climbing,17,275121930,0.7937962962962961,0.007669687271118164,True
Random Search,14,1540770719,0.865,8.564980506896973,True
Local Search,16,1102145672,0.9258333333333333,4.897784471511841,True
Tabu Search,16,1102145672,0.8916666666666666,5.374024391174316,True
Variable Neighborhood Search,16,1102145672,0.9124999999999999,5.238220930099487,True
Genetic Algorithm,13,1634535062,0.8975,14.109780073165894,True
Hill Climbing,18,1803345590,0.7654629629629629,0.005434274673461914,True
Tabu Search,17,275121930,0.8783333333333333,5.503082275390625,True
Random Search,15,1688060240,0.8679629629629629,8.398183345794678,True
Local Search,17,275121930,0.8916666666666666,5.086422443389893,True
Variable Neighborhood Search,17,275121930,0.9316666666666666,5.1471357345581055,True
Genetic Algorithm,15,1688060240,0.8991666666666666,12.049063205718994,True
Hill Climbing,19,967196436,0.7996296296296296,0.008399248123168945,True
Random Search,16,1102145672,0.8841666666666667,8.518368005752563,True
Genetic Algorithm,14,1540770719,0.8991666666666666,14.587340116500854,True
Tabu Search,18,1803345590,0.8812962962962962,4.983363151550293,True
Local Search,18,1803345590,0.905,5.154486179351807,True
Variable Neighborhood Search,18,1803345590,0.905,5.331451654434204,True
Hill Climbing,20,1074497555,0.8071296296296295,0.008084774017333984,True
Genetic Algorithm,16,1102145672,0.8916666666666666,11.563743829727173,True
Tabu Search,19,967196436,0.8841666666666667,5.096543550491333,True
Genetic Algorithm,17,275121930,0.9183333333333333,11.091784477233887,True
Random Search,17,275121930,0.8841666666666667,8.772866487503052,True
Local Search,19,967196436,0.905,5.0523247718811035,True
Hill Climbing,21,796282693,0.7833333333333332,0.009544134140014648,True
Variable Neighborhood Search,19,967196436,0.8783333333333333,5.182966232299805,True
Random Search,18,1803345590,0.8812962962962962,8.666151762008667,True
Tabu Search,20,1074497555,0.8916666666666666,5.278117418289185,True
Local Search,20,1074497555,0.8708333333333333,4.952744007110596,True
