Algorithm,Mean_Eff,Std_Eff,Best_Eff,Avg_Time,Feasible_Rate
Local Search,0.8517684332112092,0.004463761174739443,0.861462296121387,148.07642436822255,1.0
Genetic Algorithm,0.8478638888151424,0.008031224092500377,0.8622515839439541,250.60103132724763,1.0
Variable Neighborhood Search,0.8365697655452345,0.006437635512638371,0.8486311267696549,162.99237009684245,1.0
Tabu Search,0.8293657476382044,0.004470935068404397,0.8413747054913181,149.56632715066274,1.0
Random Search,0.7876423971601191,0.005696274025187407,0.8002884831618597,1129.0507486899694,1.0
Hill Climbing,0.7746970732673745,0.02033545320696061,0.8122740039541988,0.31533668041229246,1.0
Greedy,0.6459167275725719,,0.6459167275725719,0.0016632080078125,1.0
