Algorithm,Mean_Eff,Std_Eff,Best_Eff,Avg_Time,Feasible_Rate
Variable Neighborhood Search,0.9068487654320987,0.016688514191520027,0.9391666666666666,5.231059845288595,1.0
Genetic Algorithm,0.9025,0.015412588774125721,0.9316666666666666,11.765026299158732,1.0
Local Search,0.8964691358024691,0.018003925154584707,0.9391666666666666,4.979888987541199,1.0
Tabu Search,0.8906882716049382,0.008902603674815913,0.9124999999999999,4.992237854003906,1.0
Random Search,0.8781327160493827,0.011435895044004347,0.9124999999999999,8.496742765108744,1.0
Hill Climbing,0.8008796296296296,0.027838649246910888,0.8546296296296296,0.009253772099812825,1.0
Greedy,0.6942592592592591,,0.6942592592592591,0.0001823902130126953,1.0
